,X,Article_title,Name_first,Name_last,Num_authors,H_index_first,H_index_last,Num_publications_first,Num_publications_last,Num_preprints_first,Num_preprints_last,ECR_status_first,TypeOf_ECR_First,ECR_status_last,TypeOf_ECR_Last,Institution_size_first,TypeOf_Institution,Country,Continent,ImpactFactor,Journal,gender_first,gender_last,ECR_status_first_simplified,ECR_status_last_simplified
1,1,"Ecology, phylogeny, and the evolution of developmental 2 duration in birds",Christopher R. Cooney,Alison E. Wright,11,8,16,21,30,2,4,ECR,Early career research fellow,ECR,Early career research fellow,Large,Public,England/UK,Europe,NA,BioRxiv,male,female,ECR,ECR
2,2,Copulas and their potential for ecology,Shyamolina Ghosh,Daniel C. Reuman,7,5,32,16,94,1,2,ECR,Post doc,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,NA,male,ECR,Non_ECR
3,3,Crocodylomorph cranial shape evolution and its relationship with body size and ecology,Pedro L. Godoy,NA,1,5,NA,11,NA,3,NA,ECR,Post doc,NA,NA,Large,Public,USA,North America,NA,BioRxiv,male,NA,ECR,ECR
4,4,Honey bee pollen foraging ecology across an urbanization gradient,Rodney T. Richardson,Douglas B. Sponsler,6,7,6,23,20,5,5,ECR,Post doc,ECR,Post doc,Large,Public,Canada,North America,NA,BioRxiv,male,male,ECR,ECR
5,5,A reverse chemical ecology approach to explore wood natural durability,Perrot Thomas,Gelhaye Eric,9,4,35,12,145,1,2,ECR,NA,Professor,NA,Large,Public,France,Europe,NA,BioRxiv,NA,NA,ECR,Non_ECR
6,6,Genomic history and ecology of the geographic spread of rice,Rafal M. Gutaker,Michael D. Purugganan,15,8,68,15,161,4,7,ECR,Post doc,Professor,NA,Large,Private,USA,North America,NA,BioRxiv,male,male,ECR,Non_ECR
7,7,The influence of environmental setting on the community ecology of Ediacaran organisms,Emily G. Mitchell,Dmitriy V. Grazhdankin,11,6,24,14,110,4,1,ECR,Post doc,Professor,NA,Large,Public,England/UK,Europe,NA,BioRxiv,female,male,ECR,Non_ECR
8,8,Dimensions of passerine biodiversity along an elevational gradient: a nexus for historical biogeography and contemporary ecology,Kevin R. Burgio,Michael Willig,7,9,70,27,269,6,4,ECR,Post doc,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,male,male,ECR,Non_ECR
9,9,Vector bionomics and vectorial capacity as emergent properties of mosquito behaviors and ecology,Sean L. Wu,David L Smith,21,4,87,22,288,11,9,ECR,PhD,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,male,male,ECR,Non_ECR
10,10,"Metapopulation ecology links antibiotic resistance, consumption and patient transfers in a network of hospital wards",Julie T. Shapiro,Jean-Philippe Rasigade,16,8,24,25,116,2,2,ECR,Post doc,Professor,NA,Large,Public,France,Europe,NA,BioRxiv,female,NA,ECR,Non_ECR
